指数代码,指数名称,发布日期,开盘指数,最高指数,最低指数,收盘指数,成交量(亿股),成交额(亿元),涨跌幅(%),换手率(%),市盈率(倍),市净率(倍),均价(元),成交额占比(%),流通市值(亿元),平均流通市值(亿元),股息率(%),
801010,农林牧渔,2023-01-06 00:00:00.0,3263.87,3276.19,3246.82,3254.63,15.15,153.7,-0.61,2.79,96.96,3.05,13.56,1.97,6541.42,66.07,0.47,-0.006137911
801010,农林牧渔,2023-01-05 00:00:00.0,3281.35,3281.35,3245.32,3274.73,16.45,178.63,0.06,3.03,97.56,3.07,13.68,2.26,6580.75,66.47,0.47,0.000568309
801010,农林牧渔,2023-01-04 00:00:00.0,3258.54,3287.16,3241.38,3272.87,15.27,150.96,0.23,2.81,97.5,3.06,13.64,2.06,6577.01,66.43,0.47,0.002321386
801010,农林牧渔,2023-01-03 00:00:00.0,3283.07,3283.07,3226.28,3265.29,15.16,161.35,-0.89,2.79,97.28,3.06,13.58,2.2,6561.77,66.28,0.47,-0.008947514
801010,农林牧渔,2022-12-30 00:00:00.0,3253.4,3296.01,3234.87,3294.77,15.57,148.35,1.53,2.87,98.16,3.09,13.58,2.63,6621.01,66.88,0.47,0.015277996
801010,农林牧渔,2022-12-29 00:00:00.0,3266.05,3266.28,3240.52,3245.19,14.48,138.5,-0.79,2.67,96.68,3.04,13.4,2.41,6521.37,65.87,0.47,-0.007872355
801010,农林牧渔,2022-12-28 00:00:00.0,3311.69,3323.7,3265.95,3270.94,18.94,193.43,-1.73,3.49,97.44,3.06,13.53,3.18,6573.12,66.4,0.47,-0.017319646
801010,农林牧渔,2022-12-27 00:00:00.0,3253.04,3328.59,3252.78,3328.59,23.36,230.5,2.29,4.3,99.16,3.12,13.82,3.71,6688.96,67.57,0.46,0.022894265
801010,农林牧渔,2022-12-26 00:00:00.0,3262.44,3276.29,3237.81,3254.09,19.7,184.74,0.83,3.63,96.82,3.04,13.52,3.19,6531.51,65.97,0.47,0.008269815
801010,农林牧渔,2022-12-23 00:00:00.0,3252.48,3264.55,3212.1,3227.4,17.34,160.02,-1.04,3.2,96.02,3.02,13.36,2.94,6477.94,65.43,0.48,-0.010434073
801010,农林牧渔,2022-12-22 00:00:00.0,3235.47,3303.84,3235.45,3261.43,17.5,188.47,1.21,3.23,97.09,3.04,13.5,3.04,6549.77,66.16,0.47,0.012121513
801010,农林牧渔,2022-12-21 00:00:00.0,3179.92,3257.53,3171.57,3222.37,14.89,157.47,1.28,2.74,95.94,3,13.39,2.93,6472.8,65.38,0.48,0.012763376
801010,农林牧渔,2022-12-20 00:00:00.0,3242.18,3250.6,3175.82,3181.76,14.61,150.81,-2.07,2.69,94.74,2.96,13.28,2.51,6391.23,64.56,0.48,-0.020665456
801010,农林牧渔,2022-12-19 00:00:00.0,3316.37,3316.37,3242.51,3248.9,18.15,189.16,-2.49,3.34,96.74,3.02,13.62,2.66,6526.1,65.92,0.47,-0.024866812
801010,农林牧渔,2022-12-16 00:00:00.0,3316.39,3332.32,3289.81,3331.75,13.63,149.67,-0.05,2.51,99.21,3.1,13.96,2.11,6692.52,67.6,0.46,-0.000471002
801010,农林牧渔,2022-12-15 00:00:00.0,3361.98,3378.11,3323.3,3333.32,16.34,181.59,-0.91,3.01,99.26,3.1,14.03,2.53,6695.68,67.63,0.46,-0.009072964
801010,农林牧渔,2022-12-14 00:00:00.0,3348.35,3365.32,3331.21,3363.84,16.59,186.07,0.16,3.06,100.29,3.13,14.16,2.47,6754.42,68.23,0.46,0.001598942
801010,农林牧渔,2022-12-13 00:00:00.0,3285.06,3372.86,3280.03,3358.47,21.91,240.64,2.49,4.04,100.13,3.13,14.11,3.16,6743.64,68.12,0.46,0.024939345
801010,农林牧渔,2022-12-12 00:00:00.0,3285,3310.85,3263.99,3276.75,14.21,158.8,-0.87,2.62,97.67,3.05,13.75,1.88,6578.11,66.45,0.47,
801010,农林牧渔,2022-12-09 00:00:00.0,3311.98,3311.99,3262.8,3305.43,15.08,173.46,-0.24,2.78,98.46,3.07,13.83,1.87,6632.72,67,0.48,
801010,农林牧渔,2022-12-08 00:00:00.0,3384.39,3384.39,3304.61,3313.47,17.81,208.99,-2.59,3.29,98.69,3.08,13.88,2.57,6647.86,67.15,0.48,
801010,农林牧渔,2022-12-07 00:00:00.0,3368.31,3436.09,3368.31,3401.64,20.27,242.83,0.84,3.74,101.31,3.16,14.18,2.72,6824.77,68.94,0.47,
801010,农林牧渔,2022-12-06 00:00:00.0,3350.19,3406.24,3350.19,3373.45,19.77,234.29,0.55,3.66,100.38,3.14,14.02,2.51,6760.68,68.29,0.47,
801010,农林牧渔,2022-12-05 00:00:00.0,3354.24,3366.78,3332.18,3355.04,18.7,208.61,0.67,3.48,99.74,3.12,13.97,2.11,6714.83,67.83,0.47,
801010,农林牧渔,2022-12-02 00:00:00.0,3294.93,3347.96,3285.71,3332.74,17.77,207.24,1.32,3.31,99.07,3.1,13.87,2.58,6670.18,67.38,0.48,
