Ö¸Êý´úÂë,Ö¸ÊýÃû³Æ,·¢²¼ÈÕÆÚ,¿ªÅÌÖ¸Êý,×î¸ßÖ¸Êý,×îµÍÖ¸Êý,ÊÕÅÌÖ¸Êý,³É½»Á¿(ÒÚ¹É),³É½»¶î(ÒÚÔª),ÕÇµø·ù(%),»»ÊÖÂÊ(%),ÊÐÓ¯ÂÊ(±¶),ÊÐ¾»ÂÊ(±¶),¾ù¼Û(Ôª),³É½»¶îÕ¼±È(%),Á÷Í¨ÊÐÖµ(ÒÚÔª),Æ½¾ùÁ÷Í¨ÊÐÖµ(ÒÚÔª),¹ÉÏ¢ÂÊ(%)
801040,¸ÖÌú,2023-01-06 00:00:00.0,2324.53,2352.73,2321.17,2335.36,8.98,43.92,0.63,1.1500,16.7400,1.0100,7.83,0.5600,3074.83,69.88,4.55
801040,¸ÖÌú,2023-01-05 00:00:00.0,2316.62,2326.93,2308.82,2320.77,7.96,36.96,0.38,1.0200,16.6300,1.0000,7.78,0.4700,3055.62,69.45,4.58
801040,¸ÖÌú,2023-01-04 00:00:00.0,2311.31,2328.01,2305.35,2311.94,8.8,38.3,0.00,1.1300,16.5700,1.0000,7.74,0.5200,3043.99,69.18,4.60
801040,¸ÖÌú,2023-01-03 00:00:00.0,2283.34,2318.34,2277.52,2311.89,8.82,38.08,1.13,1.1300,16.5800,1.0000,7.70,0.5200,3043.58,69.17,4.60
801040,¸ÖÌú,2022-12-30 00:00:00.0,2299.31,2299.31,2278.58,2285.98,6.62,29.64,-0.20,0.8500,16.3900,0.9900,7.55,0.5200,3009.47,68.4,4.65
801040,¸ÖÌú,2022-12-29 00:00:00.0,2315.16,2315.16,2289.81,2290.58,8.56,36.48,-1.03,1.1000,16.4300,0.9900,7.56,0.6300,3015.52,68.53,4.64
801040,¸ÖÌú,2022-12-28 00:00:00.0,2317.06,2329.28,2303.99,2314.44,8.15,37.15,-0.06,1.0500,16.6000,1.0000,7.65,0.6100,3046.92,69.25,4.59
801040,¸ÖÌú,2022-12-27 00:00:00.0,2296.24,2318.87,2296.23,2315.84,7.73,31.03,1.29,0.9900,16.6000,1.0000,7.69,0.5000,3048.77,69.29,4.59
801040,¸ÖÌú,2022-12-26 00:00:00.0,2276.45,2287.95,2273.46,2286.37,6.75,28.78,0.47,0.8700,16.3900,0.9900,7.60,0.5000,3009.97,68.41,4.65
801040,¸ÖÌú,2022-12-23 00:00:00.0,2272.91,2288.63,2258.66,2275.74,6.33,27.25,-0.21,0.8100,16.3600,0.9800,7.49,0.5000,3003.33,68.26,4.66
801040,¸ÖÌú,2022-12-22 00:00:00.0,2331.83,2350.47,2274.73,2280.56,9.58,39.21,-1.46,1.2200,16.3900,0.9800,7.59,0.6300,3009.69,68.4,4.65
801040,¸ÖÌú,2022-12-21 00:00:00.0,2324.96,2341.27,2307.74,2314.33,6.79,29.99,-0.48,0.8700,16.6400,1.0000,7.69,0.5600,3054.26,69.42,4.58
801040,¸ÖÌú,2022-12-20 00:00:00.0,2327.33,2346.72,2316.38,2325.52,8.28,34.65,-0.26,1.0600,16.7200,1.0000,7.76,0.5800,3069.03,69.75,4.56
801040,¸ÖÌú,2022-12-19 00:00:00.0,2391.99,2400.74,2327.46,2331.60,14.29,57.31,-2.77,1.8200,16.7600,1.0100,7.70,0.8100,3077.06,69.93,4.55
801040,¸ÖÌú,2022-12-16 00:00:00.0,2361.40,2414.32,2361.40,2398.01,14.65,62.87,1.07,1.8700,17.2400,1.0400,7.88,0.8900,3164.87,71.93,4.42
801040,¸ÖÌú,2022-12-15 00:00:00.0,2383.84,2387.80,2364.01,2372.59,9.81,41.25,-0.59,1.2500,17.0700,1.0200,7.89,0.5800,3130.9,71.16,4.47
801040,¸ÖÌú,2022-12-14 00:00:00.0,2408.47,2418.68,2383.47,2386.77,11.43,49.64,-0.95,1.4600,17.1700,1.0300,7.89,0.6600,3149.61,71.58,4.44
801040,¸ÖÌú,2022-12-13 00:00:00.0,2392.07,2423.60,2392.07,2409.70,16.16,60.16,1.10,2.0500,17.3500,1.0400,7.98,0.7900,3193.38,72.58,4.38
801040,¸ÖÌú,2022-12-12 00:00:00.0,2444.16,2444.16,2381.69,2383.51,17.96,78.93,-2.55,2.2800,17.1600,1.0300,7.97,0.9400,3158.67,71.79,4.43
801040,¸ÖÌú,2022-12-09 00:00:00.0,2425.66,2458.61,2414.42,2445.86,18.8,87.1,1.06,2.3900,17.6100,1.0500,8.19,0.9400,3239.04,73.61,4.32
801040,¸ÖÌú,2022-12-08 00:00:00.0,2424.97,2433.20,2411.24,2420.16,10.76,50.88,-0.16,1.3700,17.4400,1.0400,8.09,0.6300,3204.55,72.83,4.39
801040,¸ÖÌú,2022-12-07 00:00:00.0,2449.61,2449.61,2419.51,2424.04,14.43,62.44,-1.18,1.8300,17.4700,1.0400,8.09,0.7000,3209.69,72.95,4.38
801040,¸ÖÌú,2022-12-06 00:00:00.0,2456.74,2462.05,2442.80,2453.00,14.99,66.42,-0.36,1.9000,17.6800,1.0600,8.11,0.7100,3248.03,73.82,4.33
801040,¸ÖÌú,2022-12-05 00:00:00.0,2402.56,2471.85,2402.56,2461.92,24.69,97.42,2.83,3.1300,17.7400,1.0600,8.15,0.9900,3259.84,74.09,4.32
801040,¸ÖÌú,2022-12-02 00:00:00.0,2409.27,2409.27,2391.42,2394.19,9.81,46.22,-0.60,1.2500,17.2500,1.0300,8.03,0.5800,3170.16,72.05,4.44
