指数代码,指数名称,发布日期,开盘指数,最高指数,最低指数,收盘指数,成交量(亿股),成交额(亿元),涨跌幅(%),换手率(%),市盈率(倍),市净率(倍),均价(元),成交额占比(%),流通市值(亿元),平均流通市值(亿元),股息率(%)
801970,环保,2023-01-06 00:00:00.0,1815.57,1824.67,1808.51,1813.31,7.74,56.99,-0.08,1.8600,22.0000,1.5200,11.51,0.7300,2824.35,25.91,1.21
801970,环保,2023-01-05 00:00:00.0,1802.83,1815.03,1800.61,1814.75,7.89,52.82,0.79,1.9000,22.0300,1.5200,11.47,0.6700,2826.54,25.93,1.21
801970,环保,2023-01-04 00:00:00.0,1797.52,1804.28,1792.72,1800.56,9.43,56.41,0.29,2.2700,21.8500,1.5100,11.36,0.7700,2800.31,25.69,1.22
801970,环保,2023-01-03 00:00:00.0,1773.40,1796.15,1773.40,1795.42,9.72,55.94,1.47,2.3500,21.8400,1.5000,11.28,0.7600,2787.03,25.57,1.22
801970,环保,2022-12-30 00:00:00.0,1758.50,1770.59,1757.21,1769.44,10.16,53.15,1.04,2.4600,21.5300,1.4800,11.08,0.9400,2740.96,25.15,1.25
801970,环保,2022-12-29 00:00:00.0,1763.48,1765.88,1751.09,1751.25,5.46,35.9,-0.68,1.3200,21.3000,1.4700,11.01,0.6200,2712.79,24.89,1.26
801970,环保,2022-12-28 00:00:00.0,1777.06,1777.37,1759.57,1763.19,6.75,42.8,-0.69,1.6300,21.4500,1.4800,11.09,0.7000,2731.25,25.06,1.25
801970,环保,2022-12-27 00:00:00.0,1769.51,1776.55,1767.24,1775.36,7.06,46.9,0.66,1.7100,21.5900,1.4900,11.24,0.7600,2750.1,25.23,1.24
801970,环保,2022-12-26 00:00:00.0,1731.18,1763.76,1730.98,1763.76,6.25,43.67,2.05,1.5400,21.1200,1.4800,11.27,0.7500,2692.74,24.93,1.27
801970,环保,2022-12-23 00:00:00.0,1728.08,1742.68,1719.81,1728.29,5.86,40.6,-0.28,1.4500,20.7200,1.4500,10.96,0.7500,2638.58,24.43,1.29
801970,环保,2022-12-22 00:00:00.0,1769.18,1770.48,1731.80,1733.20,6.79,44.35,-1.78,1.6700,20.8800,1.4500,10.96,0.7200,2648.99,24.53,1.28
801970,环保,2022-12-21 00:00:00.0,1780.58,1780.58,1757.38,1764.62,6.05,42.13,-0.94,1.4800,21.2500,1.4800,11.18,0.7800,2697.01,24.97,1.26
801970,环保,2022-12-20 00:00:00.0,1775.75,1788.15,1764.73,1781.29,7.5,50.17,0.12,1.8400,21.4400,1.4900,11.31,0.8300,2722.48,25.21,1.25
801970,环保,2022-12-19 00:00:00.0,1822.34,1826.40,1772.64,1779.23,10.83,63.04,-2.42,2.6600,21.4200,1.4900,11.27,0.8900,2719.34,25.18,1.25
801970,环保,2022-12-16 00:00:00.0,1838.71,1840.90,1817.06,1823.36,9.96,61.15,-0.99,2.4500,21.9500,1.5300,11.52,0.8600,2786.77,25.8,1.22
801970,环保,2022-12-15 00:00:00.0,1833.99,1843.52,1832.39,1841.53,7.34,50.3,0.37,1.8000,22.1500,1.5400,11.73,0.7000,2814.21,26.06,1.21
801970,环保,2022-12-14 00:00:00.0,1839.66,1848.92,1831.36,1834.75,7.03,51.23,-0.36,1.7300,22.0700,1.5400,11.71,0.6800,2803.86,25.96,1.22
801970,环保,2022-12-13 00:00:00.0,1840.90,1848.51,1838.38,1841.35,7.25,55.2,-0.17,1.7800,22.1400,1.5400,11.75,0.7200,2812.8,26.04,1.21
801970,环保,2022-12-12 00:00:00.0,1858.63,1858.63,1839.01,1844.42,9,66.32,-0.81,2.2100,22.1700,1.5400,11.80,0.7900,2817.49,26.09,1.21
801970,环保,2022-12-09 00:00:00.0,1864.35,1869.53,1855.88,1859.54,8.78,65.64,-0.24,2.1600,22.3600,1.5500,11.88,0.7100,2840.58,26.3,1.20
801970,环保,2022-12-08 00:00:00.0,1874.48,1875.29,1861.94,1863.93,8.43,59.89,-0.59,2.0700,22.4000,1.5600,11.89,0.7400,2847.28,26.36,1.20
801970,环保,2022-12-07 00:00:00.0,1872.57,1881.81,1869.33,1875.07,9.96,67.9,0.14,2.4500,22.5400,1.5700,11.96,0.7600,2864.3,26.52,1.19
801970,环保,2022-12-06 00:00:00.0,1876.93,1880.99,1869.17,1872.40,9.98,72.07,-0.42,2.4500,22.5000,1.5600,11.95,0.7700,2855.48,26.44,1.20
801970,环保,2022-12-05 00:00:00.0,1873.28,1881.02,1866.27,1880.21,10.72,81.67,0.55,2.6300,22.6000,1.5700,12.02,0.8300,2867.39,26.55,1.19
801970,环保,2022-12-02 00:00:00.0,1861.99,1871.00,1861.99,1869.84,7.15,62.36,0.30,1.7600,22.4600,1.5600,11.99,0.7800,2851.63,26.4,1.20
801970,环保,2022-12-01 00:00:00.0,1870.40,1872.93,1863.24,1864.16,8.97,75.68,0.01,2.2100,22.4100,1.5600,11.91,0.7700,2836.68,26.27,1.20
801970,环保,2022-11-30 00:00:00.0,1862.12,1869.33,1857.54,1863.98,9.11,74.82,0.10,2.2500,22.4000,1.5600,11.91,0.8600,2836.41,26.26,1.20
801970,环保,2022-11-29 00:00:00.0,1851.38,1862.07,1846.81,1862.07,9.5,79.23,0.77,2.3400,22.3700,1.5600,11.90,0.8800,2833.51,26.24,1.20
801970,环保,2022-11-28 00:00:00.0,1833.41,1848.04,1813.55,1847.89,9.77,79.91,-0.14,2.4100,22.2000,1.5400,11.77,1.1300,2810.43,26.02,1.21
801970,环保,2022-11-25 00:00:00.0,1857.72,1860.55,1848.51,1850.48,8.51,69.21,-0.41,2.1000,22.2500,1.5500,11.76,1.0100,2813.38,26.05,1.21
801970,环保,2022-11-24 00:00:00.0,1861.17,1867.35,1850.21,1858.01,9.45,75.9,0.03,2.3300,22.3500,1.5500,11.86,1.1000,2825.45,26.16,1.21
801970,环保,2022-11-23 00:00:00.0,1849.46,1860.24,1833.99,1857.51,10.88,80.8,0.56,2.6800,22.3600,1.5500,11.74,1.0600,2824.69,26.15,1.21
801970,环保,2022-11-22 00:00:00.0,1854.99,1864.97,1838.67,1847.14,8.44,68.73,-0.61,2.0800,22.2500,1.5500,11.75,0.8400,2808.97,26.01,1.22
801970,环保,2022-11-21 00:00:00.0,1848.36,1859.01,1835.79,1858.46,7.29,58.93,0.14,1.8000,22.3800,1.5500,11.84,0.7500,2825.09,26.16,1.21
801970,环保,2022-11-18 00:00:00.0,1861.66,1871.34,1854.76,1855.78,8.19,64.64,-0.24,2.0200,22.3800,1.5500,11.76,0.7100,2818.17,26.09,1.21
801970,环保,2022-11-17 00:00:00.0,1861.10,1861.10,1848.18,1860.28,6.58,54.29,-0.29,1.6300,22.4200,1.5500,11.84,0.6500,2818.37,26.1,1.21
801970,环保,2022-11-16 00:00:00.0,1869.32,1871.27,1859.20,1865.71,7.09,57.67,-0.14,1.7500,22.4800,1.5600,11.86,0.6600,2825.17,26.16,1.21
801970,环保,2022-11-15 00:00:00.0,1841.61,1868.25,1838.61,1868.25,7.8,66,1.45,1.9300,22.4900,1.5600,11.85,0.6800,2829,26.19,1.21
801970,环保,2022-11-14 00:00:00.0,1861.05,1861.05,1835.82,1841.63,8.49,72.06,-1.11,2.1000,22.1600,1.5400,11.66,0.7200,2788.69,25.82,1.22
801970,环保,2022-11-11 00:00:00.0,1889.43,1895.88,1862.27,1862.27,10.8,90.27,0.05,2.6700,22.3900,1.5500,11.77,0.8000,2818.26,26.1,1.21
801970,环保,2022-11-10 00:00:00.0,1863.61,1870.09,1852.89,1861.38,9.62,80.52,-0.42,2.3800,22.4000,1.5500,11.77,1.0500,2817.76,26.09,1.21
801970,环保,2022-11-09 00:00:00.0,1871.71,1876.71,1865.71,1869.31,10.04,78.09,0.09,2.4800,22.5000,1.5600,11.87,1.0900,2829.76,26.2,1.21
801970,环保,2022-11-08 00:00:00.0,1860.02,1867.55,1853.37,1867.55,10.97,84.36,0.33,2.7100,22.4900,1.5600,11.85,1.1000,2828.48,26.19,1.21
801970,环保,2022-11-07 00:00:00.0,1855.75,1877.10,1854.98,1861.39,13.6,114.77,0.33,3.3600,22.4100,1.5500,11.86,1.2500,2819.14,26.1,1.21
801970,环保,2022-11-04 00:00:00.0,1810.57,1857.03,1810.47,1855.25,12.87,105.62,2.82,3.1800,22.3200,1.5500,11.83,1.0700,2809.83,26.02,1.21
801970,环保,2022-11-03 00:00:00.0,1785.42,1814.93,1785.42,1804.35,9.12,69.42,0.41,2.2600,21.7000,1.5100,11.51,0.8700,2732.75,25.3,1.25
801970,环保,2022-11-02 00:00:00.0,1782.41,1802.18,1781.01,1796.98,11.18,82.41,0.71,2.7600,21.6300,1.5000,11.43,0.8600,2720.76,25.19,1.25
801970,环保,2022-11-01 00:00:00.0,1740.83,1784.26,1740.66,1784.26,9.01,65.89,2.87,2.2200,21.5000,1.4900,11.28,0.7400,2701.51,25.01,1.26
801970,环保,2022-10-31 00:00:00.0,1719.36,1748.25,1718.09,1734.43,8.93,62.3,0.55,2.2000,21.5600,1.4500,10.96,0.7800,2626.06,24.32,1.30
801970,环保,2022-10-28 00:00:00.0,1775.55,1776.99,1717.36,1724.99,9.54,78.33,-2.94,2.3500,21.4500,1.4800,10.86,0.9400,2614.38,24.21,1.31
801970,环保,2022-10-27 00:00:00.0,1782.31,1789.19,1776.39,1777.20,7.38,59.57,-0.12,1.8200,22.2300,1.5300,11.15,0.7100,2693.5,24.94,1.27
801970,环保,2022-10-26 00:00:00.0,1751.03,1793.69,1750.90,1779.36,8.31,65,1.69,2.0500,22.2500,1.5300,11.20,0.7800,2696.78,24.97,1.27
801970,环保,2022-10-25 00:00:00.0,1750.74,1762.81,1730.17,1749.85,7.58,61.83,-0.41,1.8700,21.8900,1.5100,10.99,0.8400,2652.05,24.56,1.29
801970,环保,2022-10-24 00:00:00.0,1794.09,1812.76,1751.33,1757.07,7.41,64.76,-1.80,1.8300,21.9900,1.5200,11.10,0.8000,2662.75,24.66,1.28
801970,环保,2022-10-21 00:00:00.0,1800.35,1805.28,1782.02,1789.29,6.15,53.9,-0.40,1.5200,22.4100,1.5500,11.30,0.8300,2711.3,25.1,1.26
801970,环保,2022-10-20 00:00:00.0,1813.44,1816.15,1785.32,1796.52,7.04,56.88,-1.40,1.7400,22.5000,1.5600,11.30,0.7900,2723.11,25.21,1.25
801970,环保,2022-10-19 00:00:00.0,1831.31,1834.77,1820.74,1821.98,7.66,63.49,-0.67,1.8900,22.8200,1.5800,11.42,0.9100,2761.71,25.57,1.25
801970,环保,2022-10-18 00:00:00.0,1830.24,1843.09,1822.75,1834.31,7.46,64.45,0.53,1.8400,22.9700,1.5900,11.52,0.8900,2780.39,25.74,1.24
801970,环保,2022-10-17 00:00:00.0,1801.91,1824.76,1801.91,1824.72,7.48,63.27,1.20,1.8500,22.8400,1.5800,11.47,0.8600,2765.85,25.61,1.25
801970,环保,2022-10-14 00:00:00.0,1782.24,1810.15,1781.25,1803.07,7.07,58.77,1.69,1.7400,22.5700,1.5700,11.29,0.7500,2733.04,25.31,1.26
801970,环保,2022-10-13 00:00:00.0,1753.84,1785.04,1752.36,1773.03,7.01,56.99,0.80,1.7300,22.1900,1.5400,11.09,0.8500,2686.73,24.88,1.28
801970,环保,2022-10-12 00:00:00.0,1716.77,1758.94,1697.03,1758.94,6.71,51.73,2.21,1.6600,21.9700,1.5200,11.01,0.7900,2665.49,24.68,1.29
801970,环保,2022-10-11 00:00:00.0,1705.19,1723.16,1688.87,1720.92,5.79,45.8,1.26,1.4300,21.5400,1.4900,10.76,0.8800,2606.35,24.13,1.32
801970,环保,2022-10-10 00:00:00.0,1727.95,1736.57,1696.43,1699.46,6.06,45.61,-1.33,1.5000,21.2700,1.4700,10.64,0.7900,2573.84,23.83,1.34
801970,环保,2022-09-30 00:00:00.0,1738.56,1742.48,1722.37,1722.37,5.88,45.58,-0.92,1.4500,21.5400,1.4900,10.84,0.8800,2608.36,24.15,1.32
801970,环保,2022-09-29 00:00:00.0,1762.71,1765.79,1731.37,1738.36,7.13,59.89,-0.60,1.7600,21.7300,1.5100,11.03,1.0400,2632.58,24.38,1.32
801970,环保,2022-09-28 00:00:00.0,1784.41,1786.34,1748.85,1748.85,7.37,59.12,-2.02,1.8200,21.8600,1.5200,11.08,0.9800,2642.98,24.47,1.32
801970,环保,2022-09-27 00:00:00.0,1750.52,1784.81,1750.37,1784.81,6.54,51.44,2.32,1.6200,22.3200,1.5500,11.25,0.8300,2697.33,24.98,1.29
801970,环保,2022-09-26 00:00:00.0,1766.42,1771.45,1743.74,1744.42,7.83,59,-1.65,1.9400,21.8300,1.5100,10.96,0.9500,2636.3,24.41,1.32
801970,环保,2022-09-23 00:00:00.0,1803.24,1803.93,1763.28,1773.77,7.84,57.12,-1.68,1.9400,22.2000,1.5400,11.17,0.9200,2680.65,24.82,1.30
801970,环保,2022-09-22 00:00:00.0,1802.41,1817.75,1801.72,1804.06,7.63,54.58,-0.39,1.8900,22.5600,1.5600,11.40,0.9200,2726.43,25.24,1.28
801970,环保,2022-09-21 00:00:00.0,1792.87,1816.01,1772.44,1811.06,6.31,46.87,0.92,1.5600,22.6500,1.5700,11.43,0.7900,2737,25.34,1.27
801970,环保,2022-09-20 00:00:00.0,1779.53,1799.06,1778.61,1794.48,5.71,42.22,1.23,1.4100,22.4400,1.5600,11.28,0.7000,2711.95,25.11,1.28
801970,环保,2022-09-19 00:00:00.0,1787.33,1787.33,1763.33,1772.61,6.74,47.88,-0.96,1.6700,22.1700,1.5400,11.08,0.7800,2678.91,24.8,1.30
801970,环保,2022-09-16 00:00:00.0,1832.24,1832.46,1789.74,1789.74,9.09,60.51,-2.71,2.2500,22.3800,1.5500,11.19,0.8100,2703.11,25.03,1.29
801970,环保,2022-09-15 00:00:00.0,1893.00,1893.00,1820.96,1839.64,9.33,69.66,-2.45,2.3100,23.0100,1.5900,11.48,0.8100,2778.47,25.73,1.25
801970,环保,2022-09-14 00:00:00.0,1884.55,1890.88,1876.01,1885.85,8.06,60.36,-1.25,1.9900,23.5800,1.6300,11.82,0.9000,2848.27,26.37,1.22
801970,环保,2022-09-13 00:00:00.0,1924.59,1924.59,1905.79,1909.71,8.03,60.05,-0.71,1.9900,23.8900,1.6500,11.90,0.8300,2884.3,26.71,1.21
801970,环保,2022-09-09 00:00:00.0,1933.57,1933.57,1915.18,1923.42,9.55,68.52,-0.08,2.3600,24.0700,1.6700,11.88,0.9400,2904.93,26.9,1.14
801970,环保,2022-09-08 00:00:00.0,1945.21,1945.21,1924.12,1924.89,9.4,70.26,-0.97,2.3200,24.0800,1.6700,11.92,0.9500,2907.15,26.92,1.14
801970,环保,2022-09-07 00:00:00.0,1929.28,1946.19,1924.40,1943.82,11.35,82.11,0.73,2.8100,24.3100,1.6800,12.05,1.0100,2935.73,27.18,1.13
801970,环保,2022-09-06 00:00:00.0,1911.83,1930.05,1903.98,1929.82,9.57,66.16,1.15,2.3700,24.1400,1.6700,11.94,0.8100,2914.59,26.99,1.14
801970,环保,2022-09-05 00:00:00.0,1889.87,1910.11,1889.77,1907.92,9.49,62.6,0.91,2.3500,23.8700,1.6500,11.84,0.8800,2881.52,26.68,1.15
801970,环保,2022-09-02 00:00:00.0,1884.21,1892.33,1876.84,1890.79,8.68,60.54,0.40,2.1500,23.6600,1.6400,11.77,0.8800,2856.77,26.45,1.16
